,id_city,location,mean_hotel_rate,lon,lat,mean_max_temperature_7_days
0,1,Aigues Mortes,8.87,4.19,43.57,29.2
1,2,Aix en Provence,8.02,5.45,43.53,31.5
2,3,Amiens,8.73,2.3,49.89,28.6
3,4,Annecy,8.53,6.13,45.9,29.4
4,5,Ariege,8.45,1.41,42.95,25.6
5,6,Avignon,8.19,4.81,43.95,33.2
6,7,Bayeux,8.68,-0.7,49.28,24.0
7,8,Bayonne,8.57,-1.47,43.49,26.6
8,9,Besancon,8.07,6.02,47.24,29.7
9,10,Biarritz,8.2,-1.55,43.47,25.4
10,11,Bormes les Mimosas,8.61,6.34,43.15,28.4
11,12,Carcassonne,8.54,2.35,43.21,31.9
12,13,Cassis,8.83,5.54,43.21,28.4
13,14,Chateau du Haut Koenigsbourg,8.96,7.34,48.25,26.5
14,15,Collioure,8.45,3.08,42.53,29.7
15,16,Colmar,8.55,7.36,48.08,29.7
16,17,Dijon,8.23,5.04,47.32,30.7
17,18,Eguisheim,8.92,7.31,48.04,29.6
18,19,Gorges du Verdon,8.35,6.33,43.75,27.7
19,20,Grenoble,7.85,5.74,45.19,30.9
20,21,La Rochelle,8.37,-1.15,46.16,25.0
21,22,Le Havre,8.11,0.11,49.49,23.4
22,23,Lille,8.24,3.06,50.64,27.6
23,24,Lyon,8.39,4.83,45.76,31.7
24,25,Marseille,8.33,5.37,43.3,28.3
25,26,Mont Saint Michel,8.23,-1.51,48.64,25.3
26,27,Montauban,8.57,1.35,44.02,32.4
27,28,Nimes,8.16,4.36,43.84,32.6
28,29,Paris,8.41,2.32,48.86,30.2
29,30,Rouen,8.4,1.09,49.44,27.9
30,31,Saintes Maries de la mer,8.3,4.43,43.45,27.8
31,32,St Malo,8.43,-2.03,48.65,22.8
32,33,Strasbourg,8.5,7.75,48.58,30.8
33,34,Toulouse,8.22,1.44,43.6,32.1
34,35,Uzes,8.81,4.42,44.01,32.4
